Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
33980 1150 1157 1 0.283215 0.0791664 -0.00012632 0.0791664 0.46174 -0.00011926 -0.00012632 -0.00011926 1.90295e-07  
33980 1139 828 1 0.416654 0.00306623 9.03602e-06 0.00306623 27.4262 0.00021871 9.03602e-06 0.00021871 6.44529e-07  
33981 1123 1224 1 0.228081 0.0592943 0.000107668 0.0592943 0.188946 9.46382e-05 0.000107668 9.46382e-05 1.71846e-07  
33981 1133 1828 1 0.320861 0.0121934 -9.29395e-06 0.0121934 21.8167 -0.00057903 -9.29395e-06 -0.00057903 4.41342e-07  
33982 1134 1253 1 0.16398 -0.0291741 9.76356e-05 -0.0291741 0.219238 -5.4489e-05 9.76356e-05 -5.4489e-05 1.82356e-07  
33982 1130 1271 1 0.105226 -0.0309674 5.79987e-05 -0.0309674 0.105258 -4.802e-05 5.79987e-05 -4.802e-05 8.99364e-08  
33983 1124 813 1 0.344702 -0.00686756 4.8028e-06 -0.00686756 35.1547 -0.000722915 4.8028e-06 -0.000722915 5.05567e-07  
33983 1127 1239 1 0.387997 0.070696 -0.000196086 0.070696 0.775201 -0.000124854 -0.000196086 -0.000124854 3.46303e-07  
33984 1129 1240 1 0.116152 0.0374606 -6.23186e-05 0.0374606 0.250517 -6.49573e-05 -6.23186e-05 -6.49573e-05 1.08061e-07  
33984 1118 870 1 0.367913 -0.00650745 6.18455e-06 -0.00650745 37.0671 -0.000617867 6.18455e-06 -0.000617867 5.87209e-07  
33985 1123 1238 1 0.350099 0.0422899 -0.000163126 0.0422899 0.925955 -8.60412e-05 -0.000163126 -8.60412e-05 3.31889e-07  
33985 1119 1234 1 0.346622 0.0111461 -0.000184365 0.0111461 0.659589 -1.99296e-05 -0.000184365 -1.99296e-05 3.29651e-07  
33985 1107 1276 1 0.482602 0.0940411 0.000201138 0.0940411 0.391993 0.000134874 0.000201138 0.000134874 2.88472e-07  
33986 0 0 1 nan nan nan nan nan nan nan nan nan  
33986 1114 1281 1 0.290055 -0.033413 0.000139935 -0.033413 0.762035 -9.34837e-05 0.000139935 -9.34837e-05 3.91515e-07  
33986 1107 1237 1 0.283514 -0.0296141 -0.000162703 -0.0296141 0.527238 5.51697e-05 -0.000162703 5.51697e-05 3.03109e-07  
33987 1103 1278 1 0.190696 0.0438909 7.85376e-05 0.0438909 0.363792 9.29292e-05 7.85376e-05 9.29292e-05 1.66286e-07  
33987 1108 1543 1 0.286112 0.00615063 -4.48597e-06 0.00615063 57.9015 -0.000709605 -4.48597e-06 -0.000709605 5.17551e-07  
33987 1110 1274 1 0.275559 0.00247874 0.000103191 0.00247874 0.703259 8.9611e-06 0.000103191 8.9611e-06 3.73056e-07  
33988 1115 1293 1 0.0833869 -0.0206557 3.87979e-05 -0.0206557 0.176723 -4.7401e-05 3.87979e-05 -4.7401e-05 8.90339e-08  
33988 1104 1270 1 0.249662 -0.0207882 -0.00011537 -0.0207882 1.04515 6.32322e-05 -0.00011537 6.32322e-05 3.50927e-07  
33989 1100 1336 1 0.210252 -0.0125963 0.000106654 -0.0125963 0.647598 -3.93326e-05 0.000106654 -3.93326e-05 3.33034e-07  
33989 1106 1323 1 0.590382 0.00343356 7.53583e-05 0.00343356 1.06283 4.02832e-05 7.53583e-05 4.02832e-05 8.84119e-07  
33990 1108 1348 1 0.123466 -0.0374784 6.43009e-05 -0.0374784 0.172506 -6.8613e-05 6.43009e-05 -6.8613e-05 1.17718e-07  
33990 1101 1324 1 0.2192 0.0312963 -8.73098e-05 0.0312963 1.08655 -0.000102583 -8.73098e-05 -0.000102583 2.86184e-07  
33991 1091 1342 1 0.3222 -0.0254825 -0.000151268 -0.0254825 0.629456 4.78566e-05 -0.000151268 4.78566e-05 2.84084e-07  
33991 1089 1399 1 0.194365 0.0100569 0.000104484 0.0100569 0.574193 2.77734e-05 0.000104484 2.77734e-05 2.88548e-07  
33991 1101 1406 1 0.175146 -0.0483667 7.882e-05 -0.0483667 0.213225 -7.89559e-05 7.882e-05 -7.89559e-05 1.28669e-07  
33992 1083 1382 1 0.24851 -0.0316517 -0.000150331 -0.0316517 0.42443 5.65907e-05 -0.000150331 5.65907e-05 2.68779e-07  
33992 1088 1437 1 0.273644 -0.0298756 0.000141254 -0.0298756 0.441713 -5.89048e-05 0.000141254 -5.89048e-05 2.78505e-07  
33993 1090 1403 1 0.163566 0.036714 -6.99991e-05 0.036714 0.490682 -9.26009e-05 -6.99991e-05 -9.26009e-05 1.76553e-07  
