Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
41689.8 1204.29 389.946 1.55309 0.000805549 0.000704555 -6.91492e-07 0.000704555 0.129362 -2.13616e-06 -6.91492e-07 -2.13616e-06 3.65417e-09  
41689.8 1204.33 389.816 1.55331 0.000809375 0.000706857 -6.97612e-07 0.000706857 0.129408 -2.13679e-06 -6.97612e-07 -2.13679e-06 3.65394e-09  
41689.8 1204.37 389.823 1.5533 0.00081331 0.000709268 -7.03789e-07 0.000709268 0.129453 -2.13739e-06 -7.03789e-07 -2.13739e-06 3.65367e-09  
41689.8 1200.77 755.846 1.5682 0.000853206 0.00396634 -7.67086e-07 0.00396634 1.75347 1.7651e-07 -7.67086e-07 1.7651e-07 3.76903e-09  
41689.8 1200.77 757.518 1.5682 0.000857268 0.00396509 -7.73477e-07 0.00396509 1.76127 1.7731e-07 -7.73477e-07 1.7731e-07 3.76902e-09  
41689.8 1200.78 759.224 1.56794 0.000861581 0.00396696 -7.80049e-07 0.00396696 1.76928 1.78138e-07 -7.80049e-07 1.78138e-07 3.76904e-09  
41689.8 1200.78 760.929 1.56794 0.000865838 0.00396783 -7.86576e-07 0.00396783 1.77724 1.78958e-07 -7.86576e-07 1.78958e-07 3.76902e-09  
41690.8 1206.63 476.959 1.5467 0.000862562 0.000537173 -7.71752e-07 0.000537173 0.0789909 -1.70859e-06 -7.71752e-07 -1.70859e-06 3.60814e-09  
41690.8 1206.68 476.981 1.54669 0.000866874 0.000539511 -7.7796e-07 0.000539511 0.0790061 -1.70879e-06 -7.7796e-07 -1.70879e-06 3.60785e-09  
41690.8 1206.73 476.892 1.54691 0.000871013 0.000541671 -7.84016e-07 0.000541671 0.0790207 -1.70899e-06 -7.84016e-07 -1.70899e-06 3.60759e-09  
41690.8 1206.77 477.026 1.54666 0.000875183 0.000543999 -7.90049e-07 0.000543999 0.0790352 -1.70919e-06 -7.90049e-07 -1.70919e-06 3.60733e-09  
41690.8 1206.86 474.076 1.54828 0.000919258 0.000672322 -8.55408e-07 0.000672322 0.113807 -1.8526e-06 -8.55408e-07 -1.8526e-06 3.61223e-09  
41690.8 1206.91 473.983 1.54851 0.000923748 0.000674556 -8.61526e-07 0.000674556 0.113834 -1.8529e-06 -8.61526e-07 -1.8529e-06 3.61192e-09  
41690.8 1206.95 474.127 1.54826 0.000928177 0.000676989 -8.67548e-07 0.000676989 0.113861 -1.85318e-06 -8.67548e-07 -1.85318e-06 3.61162e-09  
41691.8 1201.03 816.546 1.56772 0.000979559 0.00389385 -9.51492e-07 0.00389385 1.95586 2.61907e-07 -9.51492e-07 2.61907e-07 3.76536e-09  
41691.8 1201.04 818.258 1.56772 0.000984381 0.00389214 -9.57986e-07 0.00389214 1.96353 2.62949e-07 -9.57986e-07 2.62949e-07 3.76534e-09  
41691.8 1201.04 819.94 1.56747 0.000989201 0.00389349 -9.64437e-07 0.00389349 1.97114 2.63993e-07 -9.64437e-07 2.63993e-07 3.76535e-09  
41691.8 1201.05 821.652 1.56772 0.000993972 0.00389079 -9.70874e-07 0.00389079 1.97874 2.65026e-07 -9.70874e-07 2.65026e-07 3.76536e-09  
41691.8 1203.73 601.308 1.55942 0.000997056 0.000683481 -9.70226e-07 0.000683481 0.185899 -1.20725e-06 -9.70226e-07 -1.20725e-06 3.69943e-09  
41691.8 1203.75 601.466 1.55917 0.00100189 0.000684572 -9.76486e-07 0.000684572 0.185964 -1.20764e-06 -9.76486e-07 -1.20764e-06 3.69931e-09  
41691.8 1203.78 601.465 1.55941 0.00100671 0.000685308 -9.8275e-07 0.000685308 0.186029 -1.20803e-06 -9.8275e-07 -1.20803e-06 3.69919e-09  
41691.8 1203.8 601.971 1.55817 0.00101483 0.000688251 -9.91012e-07 0.000688251 0.186114 -1.20878e-06 -9.91012e-07 -1.20878e-06 3.69987e-09  
41691.8 1201.26 844.944 1.56691 0.0010546 0.00383468 -1.03817e-06 0.00383468 2.02042 2.93252e-07 -1.03817e-06 2.93252e-07 3.76278e-09  
41691.8 1201.27 847.239 1.56715 0.00106316 0.0038306 -1.04691e-06 0.0038306 2.03031 2.94712e-07 -1.04691e-06 2.94712e-07 3.76277e-09  
41691.8 1201.28 848.892 1.56691 0.00106826 0.00383151 -1.05334e-06 0.00383151 2.03757 2.95795e-07 -1.05334e-06 2.95795e-07 3.76277e-09  
41692.8 1207.56 542.159 1.54912 0.00107148 0.000724375 -1.03744e-06 0.000724375 0.122472 -1.72983e-06 -1.03744e-06 -1.72983e-06 3.62303e-09  
41692.8 1207.61 542.082 1.54935 0.00107664 0.000726542 -1.04364e-06 0.000726542 0.122498 -1.73009e-06 -1.04364e-06 -1.73009e-06 3.62281e-09  
41692.8 1207.65 542.238 1.54909 0.00108169 0.000728902 -1.04971e-06 0.000728902 0.122523 -1.73034e-06 -1.04971e-06 -1.73034e-06 3.62259e-09  
41693.8 1211.59 596.078 1.54083 0.00113491 0.000625227 -1.09915e-06 0.000625227 0.0871913 -1.5224e-06 -1.09915e-06 -1.5224e-06 3.55219e-09  
41693.8 1211.64 596.211 1.54059 0.00114011 0.000627394 -1.10504e-06 0.000627394 0.0872026 -1.52246e-06 -1.10504e-06 -1.52246e-06 3.55186e-09  
41693.8 1211.71 596.146 1.5408 0.00114545 0.000629453 -1.11103e-06 0.000629453 0.0872141 -1.52253e-06 -1.11103e-06 -1.52253e-06 3.55153e-09  
41693.8 1201.18 873.312 1.56778 0.00121716 0.00384431 -1.23002e-06 0.00384431 2.23928 2.05846e-07 -1.23002e-06 2.05846e-07 3.7662e-09  
41693.8 1201.19 874.907 1.56777 0.00122295 0.00384259 -1.23652e-06 0.00384259 2.24652 2.06527e-07 -1.23652e-06 2.06527e-07 3.76616e-09  
41693.8 1201.19 876.472 1.56752 0.00122869 0.00384377 -1.24294e-06 0.00384377 2.25368 2.07213e-07 -1.24294e-06 2.07213e-07 3.76615e-09  
41693.8 1211.26 542.904 1.54392 0.00121856 0.000873126 -1.19643e-06 0.000873126 0.116953 -2.01936e-06 -1.19643e-06 -2.01936e-06 3.5632e-09  
41693.8 1211.32 542.931 1.54391 0.00122413 0.000875946 -1.20235e-06 0.000875946 0.116971 -2.01945e-06 -1.20235e-06 -2.01945e-06 3.56279e-09  
41693.8 1211.38 543.117 1.54364 0.00123142 0.000879445 -1.2093e-06 0.000879445 0.116993 -2.01957e-06 -1.2093e-06 -2.01957e-06 3.56234e-09  
41694.8 1201.67 909.088 1.56638 0.00130844 0.00391318 -1.32624e-06 0.00391318 2.40532 2.54638e-07 -1.32624e-06 2.54638e-07 3.75759e-09  
41694.8 1201.68 910.774 1.56663 0.00131462 0.00391052 -1.33278e-06 0.00391052 2.41291 2.55458e-07 -1.33278e-06 2.55458e-07 3.75757e-09  
41694.8 1201.69 912.519 1.56638 0.00132141 0.00391195 -1.33967e-06 0.00391195 2.42091 2.56339e-07 -1.33967e-06 2.56339e-07 3.75755e-09  
41694.8 1208.6 622.64 1.55136 0.00131647 0.000793888 -1.31112e-06 0.000793888 0.117041 -1.67429e-06 -1.31112e-06 -1.67429e-06 3.62704e-09  
41694.8 1208.63 622.795 1.5511 0.00132259 0.000796376 -1.31729e-06 0.000796376 0.117059 -1.67442e-06 -1.31729e-06 -1.67442e-06 3.62679e-09  
